303,1,"Alandi",1,1,TRUE
303,1,"S.T.Stand",1,2,TRUE
303,1,"Dehu Phata",1,3,TRUE
303,1,"Paduka Mandir",2,4,TRUE
303,1,"Charholi Phata",2,5,TRUE
303,1,"Chincha",2,6,TRUE
303,1,"Aamba",3,7,TRUE
303,1,"Tapkir wasti",3,8,TRUE
303,1,"Dyaneshwar Old House",3,9,TRUE
303,1,"Saimandir",3,10,TRUE
303,1,"Magzine",4,11,TRUE
303,1,"Gajanan mandir",4,12,TRUE
303,1,"Dighi Corner(Odha)",4,13,TRUE
303,1,"Shastri Chowk",4,14,TRUE
303,1,"Bhosari",5,15,TRUE
303,1,"Atlas",5,16,TRUE
303,1,"Century enka Company",5,17,TRUE
303,1,"Empatronics company",5,18,TRUE
303,1,"Landewadi",6,19,TRUE
303,1,"Philips",6,20,TRUE
303,1,"M.I.D.C",7,21,TRUE
303,1,"Police Station",7,22,TRUE
303,1,"C.I.R.T",7,23,TRUE
303,1,"Nashik Phata",7,24,TRUE
303,1,"Shankarwadi",7,25,TRUE
303,1,"Wallabhnagar",7,26,TRUE
303,1,"Indian card Company",8,27,TRUE
303,1,"H.A.Company",8,28,TRUE
303,1,"Kharalwadi",8,29,TRUE
303,1,"Pimpri Road",8,30,TRUE
303,1,"Phinolex Company",9,31,TRUE
303,1,"Chinchwad Station",9,32,TRUE
303,1,"Lokmanya Hospital",10,33,TRUE
303,1,"Auditorium",10,34,TRUE
303,1,"Lpro Company",10,35,TRUE
303,1,"Chinchwad Gao",11,36,TRUE
303,1,"S.K.F.Company",11,37,TRUE
303,1,"Premlok Park",11,38,TRUE
303,1,"Bhoirnagar",11,39,TRUE
303,1,"Ganesh Vision",12,40,TRUE
303,1,"Khandoba Mal",12,41,TRUE
303,1,"Bajaj auto",12,42,TRUE
303,1,"Nigdi Corner",12,43,TRUE
303,1,"Nigdi",13,44,TRUE
303,2,"Nigdi",1,1,FALSE
303,2,"Nigdi Corner",1,2,FALSE
303,2,"Bajaj auto",1,3,FALSE
303,2,"Khandoba Mal",2,4,FALSE
303,2,"Ganesh Vision",2,5,FALSE
303,2,"Bhoirnagar",2,6,FALSE
303,2,"Premlok Park",3,7,FALSE
303,2,"S.K.F.Company",3,8,FALSE
303,2,"Chinchwad Gao",3,9,FALSE
303,2,"Lpro Company",3,10,FALSE
303,2,"Auditorium",4,11,FALSE
303,2,"Lokmanya Hospital",4,12,FALSE
303,2,"Chinchwad Station",4,13,FALSE
303,2,"Phinolex Company",4,14,FALSE
303,2,"Pimpri Road",5,15,FALSE
303,2,"Kharalwadi",5,16,FALSE
303,2,"H.A.Company",5,17,FALSE
303,2,"Indian card Company",5,18,FALSE
303,2,"Wallabhnagar",6,19,FALSE
303,2,"Shankarwadi",6,20,FALSE
303,2,"Nashik Phata",7,21,FALSE
303,2,"C.I.R.T",7,22,FALSE
303,2,"Police Station",7,23,FALSE
303,2,"M.I.D.C",7,24,FALSE
303,2,"Philips",7,25,FALSE
