370,1,10,18,60,6.00,6.15,6.30,6.45,8.00,8.15,8.30,8.45,10.15,10.30,10.45,11.00,12.30,12.45,13.00,13.15,13.30,13.45,14.00,14.15,15.30,15.45,16.00,16.15,17.30,18.00,18.15,18.45,,20.15,20.30,20.45,,,,
370,2,10,18,60,7.00,7.15,7.30,7.45,9.00,9.15,9.30,9.45,11.30,11.45,12.00,12.15,13.30,13.45,14.00,14.15,14.30,14.45,15.00,15.15,16.30,16.45,17.00,17.15,19.00,19.15,19.30,19.45,,,,,,,,
376,1,15,28,80,,,,7.45,8.40,9.40,11.00,12.00,12.30,14.05,14.55,15.50,16.50,17.45,18.40,20.10,21.15,22.00,22.00,,,,,,,,,,,,,,,,,
376,2,15,28,80,6.30,7.25,8.25,9.05,10.10,11.00,12.30,13.30,14.25,15.20,16.25,17.10,18.15,19.15,20.10,21.30,22.30,23.15,,,,,,,,,,,,,,,,,,
376,1,17,32,90,,,9.30,11.30,13.00,14.35,16.05,17.30,19.30,20.55,22.30,,,,,,,,,,,,,,,,,,,,,,,,,
376,2,17,32,90,8.00,9.30,11.30,13.00,14.30,16.00,17.30,19.00,20.55,22.15,,,,,,,,,,,,,,,,,,,,,,,,,,
"376.A",1,19,36,100,6.10,6.45,7.30,,,8.15,9.25,10.05,10.40,11.15,12.20,13.25,13.30,14.00,14.45,15.55,16.45,17.00,17.20,".18.15",19.55,20.35,21.05,21.10,22.35,,,,,,,,,,,
"376.A",2,19,36,100,7.45,8.20,9.10,6.30,7.40,10.35,11.45,11.45,12.20,13.00,14.05,15.05,15.15,15.40,16.25,18.10,19.00,19.20,19.35,20.35,,,,,,,,,,,,,,,,
"376.B",1,18,34,90,7.00,7.40,8.20,10.15,11.25,12.05,14.30,15.10,15.45,18.05,18.45,19.25,,,,,,,,,,,,,,,,,,,,,,,,
"376.B",2,18,34,90,8.30,9.10,9.50,12.40,13.20,13.55,16.15,16.55,17.35,20.30,21.10,21.50,,,,,,,,,,,,,,,,,,,,,,,,
"376.B",1,20,38,110,,,8.55,9.35,12.35,13.50,16.55,17.25,20.30,21.25,,,,,,,,,,,,,,,,,,,,,,,,,,
"376.B",2,20,38,110,6.45,7.50,10.45,12.00,14.30,15.35,18.40,19.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
