322,2,14,26.20,100,5.45,6.35,7.25,8.15,9.05,9.55,10.45,11.35,13.45,14.35,15.25,16.15,17.25,18.15,19.05,19.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
322,1,14,26.20,100,7.25,8.15,9.05,9.55,11.25,12.15,13.05,13.55,15.35,16.25,17.15,18.05,19.45,20.35,21.25,22.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"322A",2,18,33.00,105,5.50,6.25,7.20,8.05,8.55,9.45,10.45,11.35,13.30,14.15,15.00,15.45,16.55,17.40,18.25,19.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"322A",1,18,33.00,105,7.10,8.00,9.00,9.50,11.15,12.00,13.00,13.50,15.10,15.55,16.40,17.25,19.10,19.55,20.40,21.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"322B",2,18,34.40,90,5.20,6.10,7.00,7.50,8.40,9.30,10.20,11.10,13.20,14.10,15.00,15.50,17.00,17.50,18.40,19.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"322B",1,18,34.40,90,6.50,7.50,8.40,9.30,11.00,11.50,12.40,13.30,15.10,16.00,16.50,17.40,19.20,20.10,21.00,21.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
328,2,13,26.00,70,6.15,8.35,11.30,14.25,16.45,19.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
328,1,13,26.00,70,7.25,9.50,12.45,15.35,18.00,20.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
329,2,18,32.00,90,7.30,8.00,8.30,6.00,6.30,7.00,11.00,11.30,12.00,9.00,9.30,10.00,14.00,14.30,15.00,12.30,13.00,13.30,17.00,17.30,18.00,15.30,16.00,16.30,20.30,21.00,21.30,19.00,19.30,20.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
329,1,18,32.00,90,6.00,6.30,7.00,7.30,8.00,8.30,9.00,9.30,10.00,11.00,11.30,12.00,12.30,13.00,13.30,14.00,14.30,15.00,15.30,16.00,16.30,17.00,17.30,18.00,19.00,19.30,20.00,20.30,21.00,21.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
341,2,11,18.00,65,7.00,9.10,11.50,14.30,16.40,19.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
341,1,11,18.00,65,8.05,10.15,12.55,15.35,17.45,20.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
348,2,14,24.00,70,5.20,5.40,6.00,6.20,6.40,6.50,7.00,7.20,7.45,7.30,7.55,8.15,8.35,8.55,9.10,9.30,9.50,10.15,10.30,10.55,11.15,11.35,11.55,12.10,12.30,12.50,13.15,13.30,13.55,14.15,14.30,14.50,15.15,15.35,15.50,16.10,16.00,16.20,16.45,17.00,17.20,17.45,18.05,18.20,18.40,19.00,19.20,19.45,20.00,20.20,20.45,21.05,21.20,21.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
348,1,14,24.00,70,6.20,6.40,7.00,7.20,7.40,8.00,8.15,8.35,9.00,8.45,9.10,9.30,9.50,10.10,10.25,11.15,11.35,12.00,11.45,12.10,12.30,12.50,13.10,13.25,13.45,14.05,14.30,14.45,15.05,15.30,15.45,16.05,16.30,16.50,17.05,17.25,17.15,17.35,18.00,18.15,18.35,19.00,19.20,19.35,19.55,20.15,20.35,21.00,21.15,21.35,22.00,22.20,22.35,22.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350,1,7,10.00,40,7.00,8.10,9.25,11.10,12.30,13.50,15.30,16.50,18.30,20.00,21.10,22.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350,2,7,10.00,40,7.35,8.45,10.35,11.50,13.10,14.25,16.10,17.30,18.50,20.35,21.45,22.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
363,1,6,10.00,35,6.00,7.00,8.10,9.20,11.10,12.20,14.25,15.35,16.45,18.00,19.45,21.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
363,2,6,10.00,35,6.30,7.35,8.45,9.20,11.10,12.20,15.00,16.10,17.20,18.40,20.20,21.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
363,1,9,15.90,55,5.45,7.10,9.35,11.30,13.30,14.50,16.40,18.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
363,2,9,15.90,55,6.15,8.05,10.30,12.20,14.00,15.40,17.35,19.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
366,2,12,20.00,70,5.30,5.50,6.10,6.30,6.50,7.10,7.30,8.10,8.30,8.50,9.10,9.30,10.40,11.00,11.20,11.40,12.00,12.20,13.15,13.35,13.55,14.15,14.35,14.55,15.35,15.55,16.15,16.35,16.55,17.15,17.55,18.45,19.05,19.25,19.45,20.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
366,1,12,20.00,70,6.30,7.00,7.20,7.40,8.00,8.20,8.55,9.20,9.40,10.00,10.20,10.40,11.50,12.10,12.30,12.50,13.10,13.30,14.25,14.45,15.05,15.25,15.45,16.05,16.45,17.05,17.25,17.45,18.05,18.25,19.35,19.55,20.15,20.35,20.55,21.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
367,1,7,10.10,35,5.30,5.40,5.50,6.00,6.10,6.20,6.30,6.35,6.40,6.45,6.50,7.00,7.05,7.10,7.15,7.20,7.30,7.40,7.45,7.50,7.55,8.00,8.10,8.15,8.20,8.25,8.30,8.40,8.50,8.55,8.05,9.00,9.05,9.10,9.20,9.25,9.30,9.35,9.40,9.50,10.00,10.05,9.15,10.40,10.15,10.50,10.30,11.00,11.10,11.15,11.20,11.30,11.40,11.45,11.05,11.50,11.55,12.00,12.10,12.15,12.20,12.25,12.30,12.40,12.50,12.55,12.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
367,1,7,10.10,35,13.05,13.25,13.35,13.50,13.45,13.55,14.05,15.15,14.15,14.25,14.40,14.50,15.20,14.55,15.00,15.05,15.10,16.25,15.25,15.30,15.35,15.40,15.50,16.00,16.30,16.05,16.10,16.15,16.20,17.35,16.35,16.40,16.45,16.50,17.00,17.10,17.15,17.20,17.25,17.30,18.45,17.45,17.50,17.55,18.00,18.10,18.20,18.15,18.55,18.30,19.05,19.10,20.25,19.25,19.30,19.35,19.40,19.50,20.00,19.20,20.05,20.10,20.15,20.20,21.35,20.35,20.40,20.45,20.50,21.00,21.10,20.55,21.20,22.45,21.50,22.00,22.10,,,,,,,,,,,,,,,,,,,,,,,,
367,2,7,10.10,35,6.05,6.15,6.25,6.35,6.45,6.55,7.05,7.10,7.15,7.20,7.25,7.35,7.40,7.45,7.50,7.55,8.05,8.15,8.20,8.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
367,2,7,10.10,35,8.25,8.30,8.35,8.45,8.50,8.55,9.00,9.05,9.15,9.25,9.30,9.50,9.35,9.40,9.45,9.55,10.00,10.05,10.10,10.15,10.25,10.35,10.40,11.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
367,2,7,10.10,35,11.15,10.50,11.25,11.05,11.35,11.45,11.50,11.55,12.05,12.15,12.20,13.20,12.25,12.30,12.35,12.45,12.50,12.55,13.00,13.05,13.15,13.25,13.30,14.25,13.40,14.00,14.10,14.20,14.30,14.40,15.50,14.50,15.00,15.15,15.25,15.55,15.30,15.35,15.40,15.45,17.00,16.00,16.05,16.10,16.15,16.25,16.35,17.05,16.40,16.45,16.50,16.55,18.10,17.10,17.15,17.20,17.25,17.35,17.45,17.50,17.55,18.00,18.05,19.20,18.20,18.25,18.30,18.35,18.45,18.55,18.50,19.30,19.05,19.40,19.45,21.00,20.00,20.05,20.10,20.15,20.25,20.35,20.20,20.40,20.45,20.50,20.55,22.10,21.10,21.15,21.20,21.25,21.35,21.45,21.30,21.55,23.15,22.25,22.35,22.40,23.40
371,2,10,12.90,60,6.00,6.15,6.30,6.45,7.00,7.15,7.30,7.45,8.00,8.15,8.30,8.45,9.00,9.15,9.30,9.45,10.30,10.15,11.00,10.45,11.30,11.45,12.00,18.15,12.30,12.45,13.00,13.15,13.30,13.45,14.00,14.15,14.30,14.45,15.00,15.15,15.30,15.45,16.00,16.15,16.30,16.45,17.00,17.15,17.30,18.15,18.00,18.45,19.00,19.15,19.30,19.45,20.00,20.15,20.30,20.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
372,1,9,17.00,60,5.25,5.45,6.05,6.25,6.45,7.05,7.25,7.45,8.15,8.35,9.05,9.25,9.45,10.25,11.00,11.25,11.45,12.05,12.25,13.00,13.35,13.55,14.15,14.35,15.05,15.30,15.50,16.10,16.30,17.00,17.30,17.50,18.10,18.50,19.20,19.45,20.05,20.25,20.45,21.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
372,2,9,17.00,60,6.15,6.35,6.55,7.15,7.35,8.05,8.25,8.45,9.05,9.35,10.25,10.45,11.05,11.25,12.00,12.25,12.45,13.05,13.25,14.00,14.30,14.50,15.10,15.30,16.00,16.30,16.50,17.10,17.30,18.00,18.50,19.10,19.30,19.50,20.20,20.40,21.00,21.20,21.40,22.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
